pruning_level,scenario,masking_mode,pruning_method,i2t_top1,top1_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,cka_vision,cka_text,npr_vision,coordinate error,superordinate error,domain error,domain collapse,top10_coordinate_ratio,top10_superordinate_ratio,top10_domain_ratio,noise_floor_top1_acc,noise_floor_mrr,noise_floor_entropy,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.05,text_only,static,l1_unstructured,0.5520833134651184,0.5520833134651184,0.7298611111111111,0.9372222222222222,0.6688058840444657,1.982100248336792,1.0,0.9987620711326599,1.0,1280,1493,215,237,0.30722222222222223,0.8265555555555557,0.9239305555555556,,,,4400,2800,0.5395454545454546,0.5717857142857142,-0.03224025974025968
0.1,text_only,static,l1_unstructured,0.5531944632530212,0.5531944632530212,0.7305555555555555,0.9352777777777778,0.6691411403753005,1.9466121196746826,1.0,0.9935604333877563,1.0,1277,1474,226,240,0.3073888888888889,0.8278472222222222,0.9255416666666666,,,,4400,2800,0.5425,0.57,-0.02749999999999997
0.15,text_only,static,l1_unstructured,0.5569444298744202,0.5569444298744202,0.7293055555555555,0.9365277777777777,0.6729079960839796,1.9062734842300415,1.0,0.9887287020683289,1.0,1241,1492,204,253,0.3076388888888889,0.8230277777777778,0.9244305555555555,,,,4400,2800,0.5386363636363637,0.5857142857142857,-0.04707792207792205
0.2,text_only,static,l1_unstructured,0.5605555772781372,0.5605555772781372,0.7345833333333334,0.9375,0.6756119733506183,1.9945027828216553,1.0,0.9773311018943787,1.0,1253,1461,208,242,0.30938888888888894,0.8204861111111111,0.9242222222222223,,,,4400,2800,0.5422727272727272,0.5892857142857143,-0.04701298701298706
0.25,text_only,static,l1_unstructured,0.5545833110809326,0.5545833110809326,0.7291666666666666,0.9368055555555556,0.6726634946094514,2.0298144817352295,1.0,0.9562960863113403,1.0,1257,1495,229,226,0.3096805555555555,0.8214861111111111,0.9259305555555555,,,,4400,2800,0.5381818181818182,0.5803571428571429,-0.0421753246753247
0.3,text_only,static,l1_unstructured,0.5491666793823242,0.5491666793823242,0.7243055555555555,0.9419444444444445,0.6682886293517065,2.1290338039398193,1.0,0.9259188175201416,1.0,1261,1567,187,231,0.31472222222222224,0.8242777777777778,0.9271944444444444,,,,4400,2800,0.5284090909090909,0.5817857142857142,-0.0533766233766233
0.35,text_only,static,l1_unstructured,0.5287500023841858,0.5287500023841858,0.7154166666666667,0.9419444444444445,0.6488132230996757,2.3450257778167725,1.0,0.9008073210716248,1.0,1344,1631,186,232,0.3126805555555556,0.8238611111111112,0.9287916666666667,,,,4400,2800,0.5084090909090909,0.5607142857142857,-0.0523051948051948
0.4,text_only,static,l1_unstructured,0.4873611032962799,0.4873611032962799,0.6930555555555555,0.9416666666666667,0.6088650680458774,2.701716661453247,1.0,0.8517968654632568,1.0,1481,1790,193,227,0.30519444444444443,0.8193194444444445,0.9278611111111111,,,,4400,2800,0.48113636363636364,0.49714285714285716,-0.016006493506493524
0.45,text_only,static,l1_unstructured,0.3936111032962799,0.3936111032962799,0.6286111111111111,0.9336111111111111,0.521695217996318,3.5668752193450928,1.0,0.7728487253189087,1.0,1692,2196,237,241,0.2970833333333333,0.8271250000000001,0.9254861111111111,,,,4400,2800,0.3981818181818182,0.38642857142857145,0.011753246753246738
0.5,text_only,static,l1_unstructured,0.25430554151535034,0.25430554151535034,0.5508333333333333,0.9126388888888889,0.37900902919483453,5.035141468048096,1.0,0.6599327325820923,1.0,2135,2605,289,340,0.2544444444444444,0.8302361111111111,0.9245416666666668,,,,4400,2800,0.2540909090909091,0.2546428571428571,-0.0005519480519480258
0.55,text_only,static,l1_unstructured,0.092777781188488,0.092777781188488,0.3765277777777778,0.8763888888888889,0.22448442712144917,6.039632797241211,1.0,0.6436530351638794,1.0,2043,3599,362,528,0.19927777777777778,0.8066527777777779,0.9115694444444444,,,,4400,2800,0.11613636363636363,0.05607142857142857,0.060064935064935064
0.6,text_only,static,l1_unstructured,0.049861110746860504,0.049861110746860504,0.17180555555555554,0.7926388888888889,0.14406673998759761,6.153902053833008,1.0,0.42820417881011963,1.0,878,4470,821,672,0.12727777777777777,0.7452500000000002,0.8935138888888889,,,,4400,2800,0.06295454545454546,0.029285714285714286,0.03366883116883117
0.65,text_only,static,l1_unstructured,0.020972222089767456,0.020972222089767456,0.11069444444444444,0.7359722222222222,0.08797231480516089,6.160111427307129,1.0,0.4570114314556122,1.0,646,4502,880,1021,0.1003888888888889,0.7255972222222223,0.8928055555555556,,,,4400,2800,0.026818181818181817,0.011785714285714287,0.015032467532467531
