pruning_level,scenario,masking_mode,pruning_method,top1_specific_acc,top5_specific_acc,top10_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,coordinate error,superordinate error,domain error,domain collapse,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.3,vision_only,static,l1_unstructured,0.49696969985961914,0.8666666746139526,0.9272727370262146,0.6848484848484848,0.9030303030303031,0.6506279379843973,2.58475399017334,31,36,13,3,95,70,0.5052631578947369,0.4857142857142857,0.01954887218045115
0.325,vision_only,static,l1_unstructured,0.38787877559661865,0.7757575511932373,0.8787878751754761,0.5696969696969697,0.8848484848484849,0.5456527217435839,2.987147569656372,30,52,15,4,95,70,0.37894736842105264,0.4,-0.02105263157894738
0.35,vision_only,static,l1_unstructured,0.3030303120613098,0.6666666865348816,0.8181818127632141,0.49696969696969695,0.8727272727272727,0.4552346495224345,3.2601070404052734,32,62,17,4,95,70,0.28421052631578947,0.32857142857142857,-0.0443609022556391
0.375,vision_only,static,l1_unstructured,0.24848484992980957,0.5272727012634277,0.7272727489471436,0.44242424242424244,0.8121212121212121,0.38434930751263713,3.4600830078125,32,61,25,6,95,70,0.25263157894736843,0.24285714285714285,0.009774436090225574
0.4,vision_only,static,l1_unstructured,0.16969697177410126,0.41818180680274963,0.678787887096405,0.34545454545454546,0.8424242424242424,0.30585499716512365,3.595623254776001,29,82,19,7,95,70,0.16842105263157894,0.17142857142857143,-0.0030075187969924866
0.425,vision_only,static,l1_unstructured,0.1515151560306549,0.35757574439048767,0.5454545617103577,0.3090909090909091,0.8,0.2758574700702468,3.99275541305542,26,81,25,8,95,70,0.11578947368421053,0.2,-0.08421052631578949
0.45,vision_only,static,l1_unstructured,0.13333334028720856,0.3272727131843567,0.4848484992980957,0.2606060606060606,0.7696969696969697,0.24712742215145206,4.193077564239502,21,84,28,10,95,70,0.09473684210526316,0.18571428571428572,-0.09097744360902256
0.475,vision_only,static,l1_unstructured,0.072727270424366,0.24242424964904785,0.43030303716659546,0.18787878787878787,0.7151515151515152,0.1857290858270591,4.101664066314697,19,87,32,15,95,70,0.06315789473684211,0.08571428571428572,-0.022556390977443608
0.5,vision_only,static,l1_unstructured,0.042424242943525314,0.1818181872367859,0.43030303716659546,0.20606060606060606,0.7878787878787878,0.15535671848789104,4.009242057800293,27,96,25,10,95,70,0.021052631578947368,0.07142857142857142,-0.05037593984962406
0.525,vision_only,static,l1_unstructured,0.04848484694957733,0.1818181872367859,0.34545454382896423,0.19393939393939394,0.7878787878787878,0.15160443362660656,3.740788221359253,24,98,25,10,95,70,0.031578947368421054,0.07142857142857142,-0.03984962406015037
0.55,vision_only,static,l1_unstructured,0.042424242943525314,0.19393938779830933,0.3757575750350952,0.18787878787878787,0.7878787878787878,0.15272958771169126,3.884803295135498,24,99,25,10,95,70,0.042105263157894736,0.04285714285714286,-0.0007518796992481216
0.575,vision_only,static,l1_unstructured,0.024242423474788666,0.16969697177410126,0.3393939435482025,0.16363636363636364,0.7757575757575758,0.1309188500829353,3.8230249881744385,23,101,24,13,95,70,0.0,0.05714285714285714,-0.05714285714285714
